                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.91525,                0.49002,                 0.9409,                  0.849,                0.70412,                0.76007,                0.48709,                 1.0352,                 0.5285,                  1.042,              0.0008518,              0.0008518,              0.0008518
                    105,                0.90609,                0.48777,                0.94742,                0.86491,                0.65882,                0.77664,                0.49545,                 1.0382,                0.53363,                 1.0433,             0.00084614,             0.00084614,             0.00084614
                    106,                0.88549,                0.47862,                0.93711,                0.89606,                0.66352,                0.78369,                0.49656,                 1.0188,                0.53136,                 1.0417,             0.00084048,             0.00084048,             0.00084048
                    107,                0.89383,                0.47977,                0.94661,                0.82157,                0.69505,                0.78213,                0.50379,                 1.0099,                0.50741,                 1.0403,             0.00083482,             0.00083482,             0.00083482
                    108,                0.88885,                0.46045,                0.94493,                0.88332,                0.67869,                0.76244,                0.47783,                  1.024,                  0.522,                 1.0498,             0.00082916,             0.00082916,             0.00082916
                    109,                0.88288,                0.47287,                0.94215,                0.90779,                0.67628,                0.78394,                 0.4971,                 1.0287,                0.53282,                  1.052,              0.0008235,              0.0008235,              0.0008235
                    110,                0.88669,                0.47221,                0.95473,                0.87522,                0.65864,                0.74535,                0.46909,                 1.0365,                0.53316,                 1.0503,             0.00081785,             0.00081785,             0.00081785
                    111,                 0.8613,                0.46052,                0.93401,                0.87447,                0.70598,                0.77739,                0.50128,                 1.0286,                0.51701,                 1.0476,             0.00081219,             0.00081219,             0.00081219
                    112,                0.89128,                0.47647,                0.94914,                0.85202,                0.67254,                0.76194,                0.48272,                 1.0385,                0.51698,                 1.0555,             0.00080653,             0.00080653,             0.00080653
                    113,                0.87507,                0.46865,                0.94681,                0.81752,                0.66947,                0.75651,                0.48381,                 1.0419,                0.53339,                 1.0566,             0.00080087,             0.00080087,             0.00080087
                    114,                0.89062,                0.48037,                0.94692,                0.88346,                0.71308,                0.77682,                0.49981,                 1.0087,                0.50525,                 1.0307,             0.00079521,             0.00079521,             0.00079521
